PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_deduct_final.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
10-1774-2	10	143892888	143893085	+	10.5	NA	promoter-TSS (transcript:Zm00001d026345_T003)	NA	-99	transcript:Zm00001d026345_T003								
1-3947	1	250585782	250585979	+	10.5	NA	intron (transcript:Zm00001d033116_T001, intron 1 of 2)	NA	136	transcript:Zm00001d033116_T001								
5-2563	5	10550753	10550950	+	10.5	NA	TTS (transcript:Zm00001d013410_T001)	NA	2003	transcript:Zm00001d013410_T003								
4-2684	4	6857222	6857419	+	10.5	NA	NA	NA	-8231	transcript:Zm00001d048876_T002								
6-2316	6	48066059	48066256	+	10.5	NA	NA	NA	14961	transcript:Zm00001d035776_T008								
6-2228	6	171561723	171561920	+	10.5	NA	intron (transcript:Zm00001d039165_T006, intron 10 of 16)	NA	-3203	transcript:Zm00001d039165_T017								
1-3616	1	41294390	41294587	+	10.5	NA	NA	NA	-11529	transcript:Zm00001d028627_T001								
6-2165	6	152701518	152701715	+	10.5	NA	promoter-TSS (transcript:Zm00001d038266_T011)	NA	-383	transcript:Zm00001d038266_T012								
1-4450	1	200155101	200155298	+	10.5	NA	NA	NA	8634	transcript:Zm00001d031735_T001								
9-1795	9	118651517	118651714	+	10.5	NA	NA	NA	4577	transcript:Zm00001d047102_T001								
8-1643	8	33665760	33665957	+	10.5	NA	intron (transcript:Zm00001d009057_T001, intron 1 of 1)	NA	864	transcript:Zm00001d009057_T001								
4-3531	4	228639014	228639211	+	10.5	NA	NA	NA	-70222	transcript:Zm00001d053382_T002								
3-3399	3	219558255	219558452	+	10.5	NA	promoter-TSS (transcript:Zm00001d044111_T001)	NA	-356	transcript:Zm00001d044111_T001								
9-2397	9	112339472	112339669	+	10.5	NA	intron (transcript:Zm00001d046948_T002, intron 9 of 10)	NA	4153	transcript:Zm00001d046949_T001								
4-3519	4	222851981	222852178	+	10.5	NA	NA	NA	-8615	transcript:Zm00001d053259_T002								
2-3008	2	192121740	192121937	+	10.5	NA	NA	NA	-1937	transcript:Zm00001d005897_T001								
8-2292	8	75148432	75148629	+	10.5	NA	exon (transcript:Zm00001d009669_T009, exon 10 of 16)	NA	1203	transcript:Zm00001d009669_T001								
7-2115-2	7	84804680	84804877	+	10.5	NA	NA	NA	-22228	transcript:Zm00001d020002_T001								
1-3834	1	194694756	194694953	+	10.5	NA	exon (transcript:Zm00001d031570_T003, exon 4 of 5)	NA	1399	transcript:Zm00001d031570_T002								
4-2127	4	93660167	93660364	+	10.5	NA	NA	NA	42037	transcript:Zm00001d026860_T001								
5-1915	5	35919710	35919907	+	10.5	NA	NA	NA	21682	transcript:Zm00001d014193_T001								
3-2939	3	232544398	232544595	+	10.5	NA	intron (transcript:Zm00001d044584_T002, intron 22 of 26)	NA	2868	transcript:Zm00001d044584_T019								
2-2643	2	231203763	231203960	+	10.5	NA	promoter-TSS (transcript:Zm00001d001043_T001)	NA	-159	transcript:Zm00001d001043_T001								
7-2592	7	156301400	156301597	+	10.5	NA	NA	NA	-1067	transcript:Zm00001d021569_T001								
8-2231	8	45246508	45246705	+	10.5	NA	NA	NA	-9525	transcript:Zm00001d009231_T001								
1-4645	1	284755139	284755336	+	10.5	NA	intron (transcript:Zm00001d034133_T001, intron 2 of 5)	NA	2912	transcript:Zm00001d034133_T001								
4-2785	4	74448223	74448420	+	10.5	NA	NA	NA	63859	transcript:Zm00001d050220_T001								
2-2881	2	117719428	117719625	+	10.5	NA	NA	NA	-37438	transcript:Zm00001d004555_T001								
10-1569	10	15722539	15722736	+	10.5	NA	exon (transcript:Zm00001d023692_T001, exon 2 of 4)	NA	2099	transcript:Zm00001d023692_T001								
3-3417	3	226768168	226768365	+	10.5	NA	TTS (transcript:Zm00001d044388_T001)	NA	2472	transcript:Zm00001d044388_T001								
3-3383	3	212438999	212439196	+	10.5	NA	intron (transcript:Zm00001d043861_T001, intron 25 of 29)	NA	-9023	transcript:Zm00001d043862_T001								
3-3368	3	208679740	208679937	+	10.5	NA	NA	NA	-6737	transcript:Zm00001d043734_T001								
4-3387	4	176748113	176748310	+	10.5	NA	intron (transcript:Zm00001d052022_T005, intron 1 of 1)	NA	1	transcript:Zm00001d052022_T020								
3-3160	3	110467841	110468038	+	10.5	NA	exon (transcript:Zm00001d041287_T001, exon 3 of 4)	NA	1602	transcript:Zm00001d000582_T001								
7-2398-2	7	54147852	54148049	+	10.5	NA	NA	NA	-54757	transcript:Zm00001d019727_T004								
3-2868-2	3	195922867	195923064	+	10.5	NA	NA	NA	-67145	transcript:Zm00001d043311_T001								
1-3972	1	265088160	265088357	+	10.5	NA	NA	NA	-6210	transcript:Zm00001d033510_T001								
1-3558-2	1	15761971	15762168	+	10.5	NA	NA	NA	-1031	transcript:Zm00001d027868_T002								
4-2752	4	51684086	51684283	+	10.5	NA	NA	NA	-71037	transcript:Zm00001d049905_T001								
7-2172	7	124366410	124366607	+	10.5	NA	NA	NA	19200	transcript:Zm00001d020603_T013								
5-2560	5	9734504	9734701	+	10.5	NA	promoter-TSS (transcript:Zm00001d013364_T001)	NA	-797	transcript:Zm00001d013364_T001								
5-3124	5	126253906	126254103	+	10.5	NA	NA	NA	-13821	transcript:Zm00001d015851_T001								
2-2385	2	55115675	55115872	+	10.5	NA	NA	NA	20811	transcript:Zm00001d003699_T001								
7-1757	7	9879379	9879576	+	10.5	NA	3' UTR (transcript:Zm00001d018939_T002, exon 4 of 4)	NA	4992	transcript:Zm00001d018939_T002								
8-2219	8	36899122	36899319	+	10.5	NA	NA	NA	-55278	transcript:Zm00001d009109_T001								
2-2756	2	30032876	30033073	+	10.5	NA	NA	NA	-15415	transcript:Zm00001d003034_T001								
3-3095	3	68541110	68541307	+	10.5	NA	intron (transcript:Zm00001d040831_T018, intron 4 of 25)	NA	-1543	transcript:Zm00001d040831_T024								
9-2281	9	58179607	58179804	+	10.5	NA	promoter-TSS (transcript:Zm00001d046039_T030)	NA	-112	transcript:Zm00001d046039_T030								
8-1369	8	178306816	178307013	+	10.5	NA	5' UTR (transcript:Zm00001d012667_T012, exon 1 of 7)	NA	273	transcript:Zm00001d012667_T012								
7-1952	7	158779287	158779484	+	10.5	NA	NA	NA	-1857	transcript:Zm00001d021638_T001								
5-2396	5	143040347	143040544	+	10.5	NA	NA	NA	27615	transcript:Zm00001d001653_T001								
9-2182	9	6386354	6386551	+	10.5	NA	NA	NA	38065	transcript:Zm00001d044878_T003								
1-3488	1	283194882	283195079	+	10.5	NA	exon (transcript:Zm00001d034073_T001, exon 3 of 4)	NA	2445	transcript:Zm00001d034073_T002								
10-1677	10	84744068	84744265	+	10.5	NA	NA	NA	-1614	transcript:Zm00001d024716_T003								
9-1580	9	139672083	139672280	+	10.5	NA	5' UTR (transcript:Zm00001d047707_T003, exon 2 of 5)	NA	268	transcript:Zm00001d047707_T003								
1-4486	1	219828221	219828418	+	10.5	NA	3' UTR (transcript:Zm00001d032267_T013, exon 10 of 10)	NA	6648	transcript:Zm00001d032267_T013								
6-2607	6	173708276	173708473	+	10.5	NA	NA	NA	173635	transcript:Zm00001d039226_T001								
3-2904	3	212449941	212450138	+	10.5	NA	TTS (transcript:Zm00001d043862_T001)	NA	1809	transcript:Zm00001d043862_T003								
5-2873	5	209363969	209364166	+	10.5	NA	3' UTR (transcript:Zm00001d017876_T011, exon 7 of 7)	NA	2470	transcript:Zm00001d017876_T009								
7-2076	7	50889337	50889534	+	10.5	NA	NA	NA	35092	transcript:Zm00001d019688_T001								
6-2534	6	147682509	147682706	+	10.5	NA	NA	NA	-36862	transcript:Zm00001d038095_T001								
6-2064	6	100874285	100874482	+	10.5	NA	intron (transcript:Zm00001d036785_T003, intron 19 of 21)	NA	3102	transcript:Zm00001d036786_T001								
8-2427	8	145349480	145349677	+	10.5	NA	NA	NA	-20089	transcript:Zm00001d011272_T001								
1-3718-2	1	108592813	108593010	+	10.5	NA	exon (transcript:Zm00001d030143_T001, exon 1 of 2)	NA	777	transcript:Zm00001d030143_T001								
6-2236	6	173936593	173936790	+	10.5	NA	TTS (transcript:Zm00001d039231_T002)	NA	2521	transcript:Zm00001d039231_T005								
9-1838	9	144531509	144531706	+	10.5	NA	3' UTR (transcript:Zm00001d047895_T001, exon 5 of 5)	NA	1684	transcript:Zm00001d047895_T001								
10-1616	10	49205062	49205259	+	10.5	NA	NA	NA	-22981	transcript:Zm00001d024145_T001								
9-2239-2	9	35608307	35608504	+	10.5	NA	NA	NA	-15902	transcript:Zm00001d045729_T001								
4-3160	4	42107435	42107632	+	10.5	NA	exon (transcript:Zm00001d049736_T004, exon 6 of 8)	NA	2141	transcript:Zm00001d049736_T003								
9-1593	9	147883937	147884134	+	10.5	NA	promoter-TSS (transcript:Zm00001d048008_T001)	NA	-691	transcript:Zm00001d048008_T001								
2-2377	2	46840909	46841106	+	10.5	NA	promoter-TSS (transcript:Zm00001d003531_T002)	NA	-596	transcript:Zm00001d003531_T002								
5-3123	5	124309089	124309286	+	10.5	NA	promoter-TSS (transcript:Zm00001d015824_T001)	NA	-493	transcript:Zm00001d015824_T001								
7-2476	7	104113326	104113523	+	10.5	NA	NA	NA	18110	transcript:Zm00001d020283_T001								
2-3464	2	176572392	176572589	+	10.5	NA	NA	NA	5059	transcript:Zm00001d005504_T001								
1-3147-2	1	58911315	58911512	+	10.5	NA	NA	NA	37396	transcript:Zm00001d029121_T002								
3-3215	3	137701208	137701405	+	10.5	NA	NA	NA	110891	transcript:Zm00001d000617_T001								
8-2060	8	147537425	147537622	+	10.5	NA	intron (transcript:Zm00001d011349_T001, intron 1 of 1)	NA	1759	transcript:Zm00001d011349_T001								
6-2484	6	127275104	127275301	+	10.5	NA	TTS (transcript:Zm00001d037497_T003)	NA	3939	transcript:Zm00001d037497_T004								
3-2486	3	191659367	191659564	+	10.5	NA	NA	NA	-38073	transcript:Zm00001d043206_T001								
8-2366	8	117812996	117813193	+	10.5	NA	NA	NA	43468	transcript:Zm00001d010492_T011								
5-2621	5	40166662	40166859	+	10.5	NA	intron (transcript:Zm00001d014303_T003, intron 7 of 9)	NA	-2335	transcript:Zm00001d014303_T001								
2-2712	2	10662009	10662206	+	10.5	NA	NA	NA	-3668	transcript:Zm00001d002347_T001								
10-1562	10	9502598	9502795	+	10.5	NA	intron (transcript:Zm00001d023055_T001, intron 1 of 1)	NA	1586	transcript:Zm00001d023541_T001								
2-3376	2	132140822	132141019	+	10.5	NA	NA	NA	2763	transcript:Zm00001d004700_T001								
4-3446	4	198115250	198115447	+	10.5	NA	NA	NA	-32279	transcript:Zm00001d052701_T001								
10-1801	10	2015108	2015305	+	10.5	NA	5' UTR (transcript:Zm00001d023277_T002, exon 1 of 7)	NA	1079	transcript:Zm00001d023277_T002								
4-3544	4	235761565	235761762	+	10.5	NA	exon (transcript:Zm00001d027021_T001, exon 3 of 3)	NA	1496	transcript:Zm00001d027021_T001								
4-3060	4	241804904	241805101	+	10.5	NA	NA	NA	2076	transcript:Zm00001d053824_T001								
4-3398	4	179566483	179566680	+	10.5	NA	NA	NA	2023	transcript:Zm00001d052102_T001								
2-3173	2	23019240	23019437	+	10.5	NA	NA	NA	-45459	transcript:Zm00001d002799_T001								
1-3912	1	234805879	234806076	+	10.5	NA	NA	NA	-36966	transcript:Zm00001d032694_T001								
6-1796	6	98736493	98736690	+	10.5	NA	exon (transcript:Zm00001d036718_T002, exon 7 of 7)	NA	3060	transcript:Zm00001d036718_T002								
6-2465	6	114868084	114868281	+	10.5	NA	NA	NA	9964	transcript:Zm00001d037180_T001								
4-3165-2	4	43942825	43943022	+	10.5	NA	NA	NA	-47001	transcript:Zm00001d049768_T001								
2-2790	2	50111009	50111206	+	10.5	NA	intron (transcript:Zm00001d003611_T015, intron 1 of 9)	NA	-98	transcript:Zm00001d003611_T021								
6-2025	6	70470002	70470199	+	10.5	NA	NA	NA	51089	transcript:Zm00001d036072_T001								
10-1360	10	6769805	6770002	+	10.5	NA	NA	NA	57065	transcript:Zm00001d023471_T001								
4-3071	4	246282506	246282703	+	10.5	NA	intron (transcript:Zm00001d054090_T007, intron 18 of 21)	NA	-1422	transcript:Zm00001d054089_T001								
2-3531	2	211775956	211776153	+	10.5	NA	promoter-TSS (transcript:Zm00001d006593_T014)	NA	20	transcript:Zm00001d006593_T003								
7-1548	7	46905432	46905629	+	10.5	NA	promoter-TSS (transcript:Zm00001d019629_T001)	NA	-293	transcript:Zm00001d019629_T001								
10-2111	10	148632239	148632436	+	10.5	NA	NA	NA	-3484	transcript:Zm00001d026591_T002								
2-2356	2	34336270	34336467	+	10.5	NA	NA	NA	-1644	transcript:Zm00001d003167_T001								
1-4099	1	15405453	15405650	+	10.5	NA	NA	NA	4073	transcript:Zm00001d027856_T001								
9-1575	9	136201273	136201470	+	10.5	NA	NA	NA	-9119	transcript:Zm00001d047580_T001								
4-2866	4	132661634	132661831	+	10.5	NA	NA	NA	-24298	transcript:Zm00001d050938_T001								
7-1595	7	92595936	92596133	+	10.5	NA	NA	NA	75198	transcript:Zm00001d020109_T001								
8-1919	8	40247650	40247847	+	10.5	NA	NA	NA	23931	transcript:Zm00001d009161_T003								
2-2812	2	66181051	66181248	+	10.5	NA	NA	NA	23929	transcript:Zm00001d003900_T001								
2-2765	2	35831040	35831237	+	10.5	NA	NA	NA	-47433	transcript:Zm00001d003205_T001								
6-2513	6	137207662	137207859	+	10.5	NA	NA	NA	-23289	transcript:Zm00001d037774_T001								
3-2927	3	224395252	224395449	+	10.5	NA	NA	NA	-2063	transcript:Zm00001d044291_T001								
3-3332	3	191370435	191370632	+	10.5	NA	NA	NA	17574	transcript:Zm00001d043198_T001								
9-1630	9	9506147	9506344	+	10.5	NA	NA	NA	3763	transcript:Zm00001d044994_T002								
5-2965	5	26613183	26613380	+	10.5	NA	intron (transcript:Zm00001d013967_T034, intron 15 of 22)	NA	2661	transcript:Zm00001d013967_T014								
10-1847	10	25077682	25077879	+	10.5	NA	NA	NA	6597	transcript:Zm00001d023853_T001								
8-2216	8	35650954	35651151	+	10.5	NA	NA	NA	-21743	transcript:Zm00001d009090_T001								
9-2225-2	9	30486332	30486529	+	10.5	NA	promoter-TSS (transcript:Zm00001d045641_T001)	NA	-435	transcript:Zm00001d045641_T001								
3-2666	3	61733360	61733557	+	10.5	NA	NA	NA	-270704	transcript:Zm00001d040744_T001								
9-2324	9	79845158	79845355	+	10.5	NA	NA	NA	-9039	transcript:Zm00001d046313_T001								
2-3431	2	160697755	160697952	+	10.5	NA	TTS (transcript:Zm00001d005140_T001)	NA	2126	transcript:Zm00001d005141_T001								
2-2930-2	2	147920191	147920388	+	10.5	NA	NA	NA	-6441	transcript:Zm00001d004906_T001								
8-2291-2	8	75141828	75142025	+	10.5	NA	promoter-TSS (transcript:Zm00001d009668_T001)	NA	-333	transcript:Zm00001d009668_T001								
2-3442	2	167436781	167436978	+	10.5	NA	NA	NA	-189112	transcript:Zm00001d005281_T004								
3-2241	3	11804398	11804595	+	10.5	NA	NA	NA	-4175	transcript:Zm00001d039682_T001								
1-4039	1	304948265	304948462	+	10.5	NA	NA	NA	-3032	transcript:Zm00001d034892_T001								
3-2743	3	127333452	127333649	+	10.5	NA	NA	NA	49107	transcript:Zm00001d041565_T001								
1-4412	1	183362951	183363148	+	10.5	NA	NA	NA	-4465	transcript:Zm00001d031243_T001								
5-3326	5	219546216	219546413	+	10.5	NA	NA	NA	29734	transcript:Zm00001d018377_T011								
3-3047	3	45530071	45530268	+	10.5	NA	NA	NA	-32201	transcript:Zm00001d000518_T001								
6-2247	6	4367285	4367482	+	10.5	NA	NA	NA	22509	transcript:Zm00001d035084_T001								
8-2070	8	151512433	151512630	+	10.5	NA	promoter-TSS (transcript:Zm00001d011473_T002)	NA	-354	transcript:Zm00001d011473_T009								
9-1853-2	9	150477777	150477974	+	10.5	NA	promoter-TSS (transcript:Zm00001d048119_T040)	NA	-712	transcript:Zm00001d048119_T040								
2-2791	2	50231200	50231397	+	10.5	NA	NA	NA	77401	transcript:Zm00001d003614_T001								
1-2779	1	114100964	114101161	+	10.5	NA	NA	NA	6292	transcript:Zm00001d030223_T001								
1-3454	1	268443474	268443671	+	10.5	NA	intron (transcript:Zm00001d033605_T001, intron 4 of 5)	NA	1183	transcript:Zm00001d033605_T001								
10-1980	10	98861016	98861213	+	10.5	NA	NA	NA	-88436	transcript:Zm00001d025002_T002								
3-2710	3	102736285	102736482	+	10.5	NA	NA	NA	134044	transcript:Zm00001d041179_T001								
2-3428	2	159757180	159757377	+	10.5	NA	3' UTR (transcript:Zm00001d005127_T014, exon 6 of 13)	NA	-916	transcript:Zm00001d005127_T026								
7-2555	7	142499381	142499578	+	10.5	NA	NA	NA	-3040	transcript:Zm00001d021088_T001								
9-1962	9	53146186	53146383	+	10.5	NA	NA	NA	-2424	transcript:Zm00001d046003_T001								
4-2522-2	4	155392544	155392741	+	10.5	NA	NA	NA	-57942	transcript:Zm00001d051349_T001								
3-3228	3	143138395	143138592	+	10.5	NA	promoter-TSS (transcript:Zm00001d041912_T004)	NA	-576	transcript:Zm00001d041912_T005								
5-3070	5	84109316	84109513	+	10.5	NA	NA	NA	11967	transcript:Zm00001d015313_T002								
7-2484	7	110641490	110641687	+	10.5	NA	NA	NA	-33451	transcript:Zm00001d020385_T001								
7-2117	7	85036097	85036294	+	10.5	NA	promoter-TSS (transcript:Zm00001d020004_T004)	NA	-872	transcript:Zm00001d020004_T003								
10-1077	10	91825090	91825287	+	10.5	NA	NA	NA	-5079	transcript:Zm00001d024876_T001								
1-3878	1	215641798	215641995	+	10.5	NA	NA	NA	-38115	transcript:Zm00001d032176_T001								
2-2626	2	223273725	223273922	+	10.5	NA	exon (transcript:Zm00001d007141_T002, exon 2 of 5)	NA	1195	transcript:Zm00001d007141_T003								
8-1889	8	17875540	17875737	+	10.5	NA	promoter-TSS (transcript:Zm00001d008724_T011)	NA	-1	transcript:Zm00001d008724_T008								
3-2761	3	136206236	136206433	+	10.5	NA	NA	NA	9329	transcript:Zm00001d041759_T005								
7-2428	7	78254755	78254952	+	10.5	NA	NA	NA	-23988	transcript:Zm00001d019941_T002								
8-2330	8	96904446	96904643	+	10.5	NA	NA	NA	29015	transcript:Zm00001d010049_T002								
7-1803	7	39977795	39977992	+	10.5	NA	NA	NA	10027	transcript:Zm00001d019525_T001								
4-3433	4	191562266	191562463	+	10.5	NA	NA	NA	-5226	transcript:Zm00001d052504_T001								
3-2810	3	169692085	169692282	+	10.5	NA	TTS (transcript:Zm00001d042503_T001)	NA	644	transcript:Zm00001d042503_T001								
7-2006	7	2054031	2054228	+	10.5	NA	NA	NA	3821	transcript:Zm00001d018656_T001								
2-2921	2	142529940	142530137	+	10.5	NA	NA	NA	3878	transcript:Zm00001d004836_T001								
9-2116	9	144119534	144119731	+	10.5	NA	5' UTR (transcript:Zm00001d047880_T002, exon 1 of 3)	NA	513	transcript:Zm00001d047880_T002								
3-3135	3	100608572	100608769	+	10.5	NA	NA	NA	-4718	transcript:Zm00001d041157_T001								
3-2242	3	12156460	12156657	+	10.5	NA	NA	NA	-1722	transcript:Zm00001d039694_T001								
1-3675	1	77604188	77604385	+	10.5	NA	NA	NA	44445	transcript:Zm00001d029579_T001								
8-2016	8	116799420	116799617	+	10.5	NA	intron (transcript:Zm00001d010470_T025, intron 11 of 14)	NA	7187	transcript:Zm00001d010470_T014								
2-3283	2	72696256	72696453	+	10.5	NA	NA	NA	33211	transcript:Zm00001d003967_T001								
9-1935	9	36395869	36396066	+	10.5	NA	intron (transcript:Zm00001d045744_T002, intron 6 of 10)	NA	8313	transcript:Zm00001d027080_T001								
6-2193	6	162658431	162658628	+	10.5	NA	TTS (transcript:Zm00001d038695_T001)	NA	1913	transcript:Zm00001d038695_T001								
5-3119	5	120901554	120901751	+	10.5	NA	NA	NA	-92664	transcript:Zm00001d015796_T001								
7-2223	7	155137877	155138074	+	10.5	NA	exon (transcript:Zm00001d001260_T001, exon 1 of 1)	NA	210	transcript:Zm00001d001260_T001								
3-2604	3	22520816	22521013	+	10.5	NA	NA	NA	-22847	transcript:Zm00001d040003_T001								
9-1790	9	115642086	115642283	+	10.5	NA	exon (transcript:Zm00001d047023_T001, exon 9 of 13)	NA	6476	transcript:Zm00001d047023_T001								
8-1975	8	86387285	86387482	+	10.5	NA	NA	NA	-47699	transcript:Zm00001d009872_T002								
3-3334	3	191660311	191660508	+	10.5	NA	NA	NA	-37129	transcript:Zm00001d043206_T001								
4-3227	4	85206794	85206991	+	10.5	NA	NA	NA	-4130	transcript:Zm00001d050388_T001								
1-4006	1	289596568	289596765	+	10.5	NA	NA	NA	-6282	transcript:Zm00001d034331_T001								
3-2915	3	215164190	215164387	+	10.5	NA	TTS (transcript:Zm00001d043965_T001)	NA	3865	transcript:Zm00001d043965_T002								
5-2515	5	217538538	217538735	+	10.5	NA	intron (transcript:Zm00001d018258_T002, intron 5 of 7)	NA	976	transcript:Zm00001d018258_T014								
3-2961	3	1874641	1874838	+	10.5	NA	NA	NA	2662	transcript:Zm00001d039324_T001								
5-2967	5	27502878	27503075	+	10.5	NA	promoter-TSS (transcript:Zm00001d013986_T001)	NA	-843	transcript:Zm00001d013986_T001								
1-3047	1	6650214	6650411	+	10.5	NA	NA	NA	43296	transcript:Zm00001d027498_T001								
1-3841	1	197500138	197500335	+	10.5	NA	TTS (transcript:Zm00001d031653_T004)	NA	5659	transcript:Zm00001d031653_T007								
7-2585	7	153354994	153355191	+	10.5	NA	intron (transcript:Zm00001d021480_T002, intron 1 of 7)	NA	328	transcript:Zm00001d021480_T004								
9-1784-2	9	109576892	109577089	+	10.5	NA	NA	NA	-20171	transcript:Zm00001d046900_T001								
1-3991	1	279091629	279091826	+	10.5	NA	exon (transcript:Zm00001d033935_T008, exon 4 of 14)	NA	1249	transcript:Zm00001d033935_T017								
3-3290	3	170373216	170373413	+	10.5	NA	intron (transcript:Zm00001d042519_T004, intron 1 of 3)	NA	676	transcript:Zm00001d042519_T006								
4-2391-2	4	38579716	38579913	+	10.5	NA	promoter-TSS (transcript:Zm00001d049643_T005)	NA	-322	transcript:Zm00001d049643_T005								
9-2132	9	151247039	151247236	+	10.5	NA	TTS (transcript:Zm00001d048166_T001)	NA	4948	transcript:Zm00001d048166_T002								
2-2671	2	176845	177042	+	10.5	NA	TTS (transcript:Zm00001d001766_T001)	NA	1005	transcript:Zm00001d001766_T001								
5-3147	5	136646091	136646288	+	10.5	NA	TTS (transcript:Zm00001d015982_T001)	NA	-1134	transcript:Zm00001d015984_T003								
10-1475	10	109713798	109713995	+	10.5	NA	NA	NA	-54395	transcript:Zm00001d025218_T001								
3-2254-2	3	18872361	18872558	+	10.5	NA	NA	NA	4422	transcript:Zm00001d039904_T012								
7-2601	7	161009088	161009285	+	10.5	NA	NA	NA	-25559	transcript:Zm00001d021711_T001								
3-3431	3	231621313	231621510	+	10.5	NA	intron (transcript:Zm00001d044553_T005, intron 1 of 11)	NA	398	transcript:Zm00001d044553_T008								
10-1680	10	90658209	90658406	+	10.5	NA	promoter-TSS (transcript:Zm00001d024852_T001)	NA	-798	transcript:Zm00001d024852_T001								
8-1873	8	11338285	11338482	+	10.5	NA	intron (transcript:Zm00001d008520_T006, intron 4 of 6)	NA	-1183	transcript:Zm00001d008520_T009								
1-4295	1	107180318	107180515	+	10.5	NA	promoter-TSS (transcript:Zm00001d030121_T001)	NA	-793	transcript:Zm00001d030121_T001								
3-2536	3	223419381	223419578	+	10.5	NA	NA	NA	12009	transcript:Zm00001d044270_T001								
4-3505	4	217098210	217098407	+	10.5	NA	NA	NA	-6336	transcript:Zm00001d053158_T002								
2-2077	2	59001596	59001793	+	10.5	NA	exon (transcript:Zm00001d003778_T001, exon 4 of 9)	NA	2400	transcript:Zm00001d003778_T001								
7-2613	7	165774269	165774466	+	10.5	NA	TTS (transcript:Zm00001d021908_T002)	NA	2652	transcript:Zm00001d021909_T001								
1-3736	1	123933310	123933507	+	10.5	NA	NA	NA	-2025	transcript:Zm00001d030345_T001								
7-2285	7	179890558	179890755	+	10.5	NA	TTS (transcript:Zm00001d022552_T001)	NA	861	transcript:Zm00001d022552_T001								
10-1714	10	112934235	112934432	+	10.5	NA	NA	NA	1929	transcript:Zm00001d025293_T001								
10-1685	10	94273237	94273434	+	10.5	NA	TTS (transcript:Zm00001d024908_T001)	NA	-2233	transcript:Zm00001d024907_T001								
1-3854	1	202179240	202179437	+	10.5	NA	intron (transcript:Zm00001d031799_T001, intron 3 of 3)	NA	2197	transcript:Zm00001d031799_T001								
4-2842	4	117320203	117320400	+	10.5	NA	NA	NA	-105192	transcript:Zm00001d050708_T001								
3-3373	3	210181282	210181479	+	10.5	NA	intron (transcript:Zm00001d043785_T001, intron 4 of 8)	NA	3760	transcript:Zm00001d043785_T003								
1-3547	1	11008430	11008627	+	10.5	NA	NA	NA	7336	transcript:Zm00001d027680_T002								
8-2480	8	165877327	165877524	+	10.5	NA	exon (transcript:Zm00001d011983_T009, exon 6 of 6)	NA	1939	transcript:Zm00001d011983_T064								
2-2609	2	217006067	217006264	+	10.5	NA	NA	NA	3503	transcript:Zm00001d006800_T001								
1-4140	1	31880208	31880405	+	10.5	NA	NA	NA	-7796	transcript:Zm00001d028358_T002								
3-3328	3	188447561	188447758	+	10.5	NA	intron (transcript:Zm00001d043076_T001, intron 1 of 2)	NA	654	transcript:Zm00001d043076_T002								
8-1890	8	18842017	18842214	+	10.5	NA	promoter-TSS (transcript:Zm00001d008743_T009)	NA	18	transcript:Zm00001d008743_T009								
1-4200	1	56132854	56133051	+	10.5	NA	NA	NA	-11043	transcript:Zm00001d029051_T001								
8-2030	8	122877657	122877854	+	10.5	NA	NA	NA	-1846	transcript:Zm00001d010646_T001								
3-2953	3	881703	881900	+	10.5	NA	TTS (transcript:Zm00001d039270_T001)	NA	2124	transcript:Zm00001d039270_T001								
1-4403	1	177768734	177768931	+	10.5	NA	NA	NA	19109	transcript:Zm00001d031113_T001								
9-2212	9	19591567	19591764	+	10.5	NA	NA	NA	-1984	transcript:Zm00001d045361_T001								
6-2408	6	92154694	92154891	+	10.5	NA	NA	NA	-126550	transcript:Zm00001d036558_T001								
6-2560	6	158350554	158350751	+	10.5	NA	intron (transcript:Zm00001d038480_T001, intron 3 of 3)	NA	4873	transcript:Zm00001d038480_T001								
9-2302	9	69023066	69023263	+	10.5	NA	NA	NA	-114381	transcript:Zm00001d046172_T001								
4-1116	4	163912976	163913175	+	10.4	NA	exon (transcript:Zm00001d051590_T001, exon 9 of 10)	NA	13761	transcript:Zm00001d051590_T006								
2-816	2	175200505	175200704	+	10.4	NA	NA	NA	-1523	transcript:Zm00001d005468_T001								
10-687	10	148632181	148632380	+	10.4	NA	NA	NA	-3427	transcript:Zm00001d026591_T002								
1-1535	1	267376347	267376546	+	10.4	NA	promoter-TSS (transcript:Zm00001d033573_T001)	NA	-793	transcript:Zm00001d033573_T001								
7-833	7	131927452	131927651	+	10.4	NA	NA	NA	-24895	transcript:Zm00001d020773_T001								
7-802	7	80963845	80964044	+	10.4	NA	NA	NA	-1049	transcript:Zm00001d019966_T001								
6-1071	6	171567388	171567587	+	10.4	NA	5' UTR (transcript:Zm00001d039165_T018, exon 9 of 18)	NA	5430	transcript:Zm00001d039165_T018								
3-1241	3	165217654	165217853	+	10.4	NA	NA	NA	-293967	transcript:Zm00001d042402_T001								
